#,Judge,State,Born/Died,Active service,Chief Justice,Retirement,Appointed by,"Reason for
termination"
1,"Jay, JohnJohn Jay†",NY,174512121745–1829,"178909261789–1795
(5–6 years)",178909261789–1795,—,Washington,Resignation
2,"Rutledge, JohnJohn Rutledge",SC,173909181739–1800,"179002151789–1791
(1–2 years)",—,—,Washington,Resignation[n 1]
3,"Cushing, WilliamWilliam Cushing",MA,173203011732–1810,"179002021789–1810
(20–21 years)",—,—,Washington,Death
4,"Wilson, JamesJames Wilson",PA,174209141742–1798,"178910051789–1798
(8–9 years)",—,—,Washington,Death
5,"Blair, JohnJohn Blair, Jr.",VA,17320000<1732–1800,"179002021789–1795
(5–6 years)",—,—,Washington,Resignation
6,"Iredell, JamesJames Iredell",NC,175110051751–1799,"179005121790–1799
(8–9 years)",—,—,Washington,Death
7,"Johnson, ThomasThomas Johnson*",MD,173211041732–1819,"179208061792–1793
(0–1 years)",—,—,Washington,Resignation
8,"Paterson, WilliamWilliam Paterson",NJ,174512241745–1806,"179303111793–1806
(12–13 years)",—,—,Washington,Death
5,"Rutledge, JohnJohn Rutledge*†",SC,173909181739–1800,"179506301795–1795
(0 years)",179512281795,—,Washington,Rejection
9,"Chase, SamuelSamuel Chase",MD,174104171741–1811,"179602041796–1811
(14–15 years)",—,—,Washington,Death
10,"Ellsworth, OliverOliver Ellsworth†",CT,174504291745–1807,"179603081796–1800
(3–4 years)",179603081796–1800,—,Washington,Resignation
11,"Washington, BushrodBushrod Washington",VA,176206051762–1829,"179902041798–1829
(30–31 years)",—,—,"Adams, J.",Death
12,"Moore, AlfredAlfred Moore",NC,175505211755–1810,"180004211800–1804
(3–4 years)",—,—,"Adams, J.",Resignation
13,"Marshall, JohnJohn Marshall†",VA,175509241755–1835,"180102041801–1835
(33–34 years)",180102041801–1835,—,"Adams, J.",Death
14,"Johnson, WilliamWilliam Johnson",SC,177112271771–1834,"180405071804–1834
(29–30 years)",—,—,Jefferson,Death
15,"Livingston, Henry BrockholstHenry Brockholst Livingston",NY,175711251757–1823,"180701201807–1823
(15–16 years)",—,—,Jefferson,Death
16,"Todd, ThomasThomas Todd",KY,176501231765–1826,"180705041807–1826
(18–19 years)",—,—,Jefferson,Death
17,"Duvall, GabrielGabriel Duvall",MD,175212061752–1844,"181111231811–1835
(23–24 years)",—,—,Madison,Resignation
18,"Story, JosephJoseph Story",MA,177909181779–1845,"181202031812–1845
(32–33 years)",—,—,Madison,Death
19,"Thompson, SmithSmith Thompson*",NY,176801171768–1843,"182309011823–1843
(19–20 years)",—,—,Monroe,Death
20,"Trimble, RobertRobert Trimble",KY,177611171776–1828,"182606161826–1828
(1–2 years)",—,—,"Adams, J. Q.",Death
21,"McLean, JohnJohn McLean",OH,178503111785–1861,"183001111829–1861
(30–31 years)",—,—,Jackson,Death
22,"Baldwin, HenryHenry Baldwin",PA,178001141780–1844,"183001181830–1844
(13–14 years)",—,—,Jackson,Death
23,"Wayne, James MooreJames Moore Wayne",GA,17900000<1790–1867,"183501141835–1867
(31–32 years)",—,—,Jackson,Death
24,"Taney, Roger B.Roger B. Taney†",MD,177703171777–1864,"183603281836–1864
(27–28 years)",183603281836–1864,—,Jackson,Death
25,"Barbour, Philip PendletonPhilip Pendleton Barbour",VA,178305251783–1841,"183605121836–1841
(4–5 years)",—,—,Jackson,Death
26,"Catron, JohnJohn Catron",TN,17860000<1786–1865,"183705011837–1865
(27–28 years)",—,—,Jackson,Death
27,"McKinley, JohnJohn McKinley",AL,178005011780–1852,"183801091837–1852
(14–15 years)",—,—,Van Buren,Death
28,"Daniel, Peter VivianPeter Vivian Daniel",VA,178404241784–1860,"184201101842–1860
(17–18 years)",—,—,Van Buren,Death
29,"Nelson, SamuelSamuel Nelson",NY,179211101792–1873,"184502271845–1872
(26–27 years)",—,—,Tyler,Retirement
30,"Woodbury, LeviLevi Woodbury*",NH,178912221789–1851,"184509231845–1851
(5–6 years)",—,—,Polk,Death
31,"Grier, Robert CooperRobert Cooper Grier",PA,179403051794–1870,"184608101846–1870
(23–24 years)",—,—,Polk,Retirement
32,"Curtis, Benjamin RobbinsBenjamin Robbins Curtis*",MA,180911041809–1874,"185110101851–1857
(5–6 years)",—,—,Fillmore,Resignation
33,"Campbell, John ArchibaldJohn Archibald Campbell",AL,181106241811–1889,"185304111853–1861
(7–8 years)",—,—,Pierce,Resignation
34,"Clifford, NathanNathan Clifford",ME,180308181803–1881,"185801211858–1881
(22–23 years)",—,—,Buchanan,Death
35,"Swayne, Noah HaynesNoah Haynes Swayne",OH,180412071804–1884,"186201271862–1881
(18–19 years)",—,—,Lincoln,Retirement
36,"Miller, Samuel FreemanSamuel Freeman Miller",IA,181604051816–1890,"186207211862–1890
(27–28 years)",—,—,Lincoln,Death
37,"Davis, DavidDavid Davis*",IL,181503091815–1886,"186212101862–1877
(14–15 years)",—,—,Lincoln,Resignation
38,"Field, Stephen JohnsonStephen Johnson Field",CA,181611041816–1899,"186305201863–1897
(33–34 years)",—,—,Lincoln,Retirement
39,"Chase, Salmon P.Salmon P. Chase†",OH,180801131808–1873,"186412151864–1873
(8–9 years)",186412151864–1873,—,Lincoln,Death
40,"Strong, WilliamWilliam Strong",PA,180805061808–1895,"187003141870–1880
(9–10 years)",—,—,Grant,Retirement
41,"Bradley, Joseph PhiloJoseph P. Bradley",NJ,181303141813–1892,"187003231870–1892
(21–22 years)",—,—,Grant,Death
42,"Hunt, WardWard Hunt",NY,181006141810–1886,"187301091873–1882
(8–9 years)",—,—,Grant,Retirement
43,"Waite, MorrisonMorrison Waite†",OH,181611291816–1888,"187403041874–1888
(13–14 years)",187403041874–1888,—,Grant,Death
44,"Harlan, John MarshallJohn Marshall Harlan",KY,183306011833–1911,"187712101877–1911
(33–34 years)",—,—,Hayes,Death
45,"Woods, William BurnhamWilliam Burnham Woods",AL,182408031824–1887,"188101051881–1887
(5–6 years)",—,—,Hayes,Death
46,"Matthews, StanleyStanley Matthews",OH,182407211824–1889,"188105171881–1889
(7–8 years)",—,—,Garfield,Death
47,"Gray, HoraceHorace Gray",MA,182803241828–1902,"188201091882–1902
(19–20 years)",—,—,Arthur,Death
48,"Blatchford, SamuelSamuel Blatchford",NY,182003091820–1893,"188204031882–1893
(10–11 years)",—,—,Arthur,Death
49,"Lamar, Lucius Quintus CincinnatusLucius Quintus
Cincinnatus Lamar",MS,182509171825–1893,"188801181888–1893
(4–5 years)",—,—,Cleveland,Death
50,"Fuller, MelvilleMelville Fuller†",IL,183302111833–1910,"188810081888–1910
(21–22 years)",188810081888–1910,—,Cleveland,Death
51,"Brewer, David JosiahDavid Josiah Brewer",KS,183706201837–1910,"189001061890–1910
(19–20 years)",—,—,"Harrison, B.",Death
52,"Brown, Henry BillingsHenry Billings Brown",MI,183603021836–1913,"189101051891–1906
(14–15 years)",—,—,"Harrison, B.",Retirement
53,"Shiras, George Jr.George Shiras, Jr.",PA,183201261832–1924,"189210101892–1903
(10–11 years)",—,—,"Harrison, B.",Retirement
54,"Jackson, Howell EdmundsHowell Edmunds Jackson",TN,183204081832–1895,"189303041893–1895
(1–2 years)",—,—,"Harrison, B.",Death
